id,season,division,round,localTeam,visitorTeam,localGoals,visitorGoals,date,result,T1PliS,T1PviS,T2PliS,T2PviS,total_punts_loc,total_punts_vis,month,day_of_week,GoalsliS,GoalsviS,local_3streak,visitor_3streak,local_5streak,visitor_5streak,last_1ra_loc,last_1ra_vis,Rk_loc,Rk_vis,last_top6_loc,last_top6_vis
11771,1987-88,1,7,Valencia,Valladolid,0,1,1987-10-18,0,1.0,0.4444444444444444,0.5555555555555556,0.1111111111111111,13.0,6.0,3,7,9.0,3.0,6.0,4.0,10.0,5.0,1,1,3.0,9.0,0,0
11772,1987-88,1,8,Valladolid,Atletico de Bilbao,1,0,1987-10-24,2,0.5555555555555556,0.3333333333333333,0.75,0.5555555555555556,9.0,14.0,3,6,4.0,9.0,6.0,6.0,7.0,10.0,1,1,7.0,3.0,0,0
11773,1987-88,1,8,Barcelona,Mallorca,2,2,1987-10-25,1,0.0,0.5,0.5833333333333334,0.1111111111111111,6.0,8.0,3,7,5.0,11.0,3.0,7.0,3.0,7.0,1,1,10.0,8.0,0,0
11774,1987-88,1,8,Betis,Logrones,1,1,1987-10-25,1,0.7777777777777778,0.25,0.25,0.0,10.0,3.0,3,7,12.0,3.0,3.0,1.0,4.0,2.0,1,1,6.0,12.0,0,0
11775,1987-88,1,8,Celta de Vigo,Cadiz,4,1,1987-10-25,2,0.5555555555555556,0.4166666666666667,0.3333333333333333,1.0,10.0,13.0,3,7,6.0,10.0,3.0,4.0,6.0,10.0,1,1,6.0,4.0,0,0
11776,1987-88,1,8,Sporting de Gijon,Espanol,1,2,1987-10-25,0,0.7777777777777778,0.08333333333333333,0.25,0.3333333333333333,8.0,6.0,3,7,6.0,4.0,4.0,0.0,7.0,6.0,1,1,8.0,10.0,0,0
11777,1987-88,1,8,Murcia,Sabadell,2,0,1987-10-25,2,0.3333333333333333,0.25,0.3333333333333333,0.1111111111111111,6.0,5.0,3,7,6.0,3.0,0.0,1.0,3.0,5.0,1,1,10.0,11.0,0,0
11778,1987-88,1,8,Osasuna,Las Palmas,2,1,1987-10-25,2,0.7777777777777778,0.16666666666666666,0.5,0.1111111111111111,9.0,7.0,3,7,6.0,7.0,2.0,3.0,5.0,7.0,1,1,7.0,9.0,0,0
11779,1987-88,1,8,Real Sociedad,Atletico de Madrid,0,0,1987-10-25,1,0.4444444444444444,0.5,1.0,0.4444444444444444,10.0,16.0,3,7,13.0,9.0,9.0,9.0,9.0,12.0,1,1,6.0,2.0,0,0
11780,1987-88,1,8,Real Madrid,Valencia,4,0,1987-10-25,2,1.0,1.0,0.75,0.4444444444444444,21.0,13.0,3,7,28.0,9.0,9.0,3.0,15.0,9.0,1,1,1.0,4.0,0,0
11781,1987-88,1,8,Zaragoza,Sevilla,8,1,1987-10-25,2,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,10.0,12.0,3,7,8.0,9.0,6.0,6.0,6.0,9.0,1,1,6.0,5.0,0,0
11782,1987-88,1,9,Atletico de Bilbao,Real Madrid,0,0,1987-10-31,1,0.75,0.4166666666666667,1.0,1.0,14.0,24.0,3,6,9.0,32.0,3.0,9.0,7.0,15.0,1,1,3.0,1.0,0,0
11783,1987-88,1,9,Celta de Vigo,Betis,2,0,1987-10-31,2,0.6666666666666666,0.4166666666666667,0.6666666666666666,0.25,13.0,11.0,3,6,10.0,13.0,5.0,4.0,9.0,5.0,1,1,4.0,6.0,0,0
11784,1987-88,1,9,Espanol,Zaragoza,2,1,1987-10-31,2,0.25,0.5,0.75,0.3333333333333333,9.0,13.0,3,6,6.0,16.0,3.0,6.0,6.0,9.0,1,1,7.0,4.0,0,0
11785,1987-88,1,9,Atletico de Madrid,Valladolid,3,0,1987-11-01,2,1.0,0.4166666666666667,0.6666666666666666,0.3333333333333333,17.0,12.0,4,7,9.0,5.0,7.0,9.0,10.0,10.0,1,1,2.0,5.0,0,0
